id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32974400,Spacious an bright apartment with amazing view!,17010127,Peter,,Geuzenveld - Slotermeer,52.37533,4.83266,Entire home/apt,250,2,3,2019-06-16,1.27,1,0
32974574,Spacious apartment in vibrant East area!,248171128,Merel & Dave,,Oud-Oost,52.36098,4.91175,Entire home/apt,119,2,2,2019-06-30,0.76,1,2
32974828,Comfortable ground floor bedroom close to center,8801297,Natalie,,Bos en Lommer,52.37657,4.86127,Private room,75,2,27,2019-07-03,6.98,1,15
32975120,Spacious and  cosy family home Amsterdam east,7594884,"Ruben, Sarah & Lindy",,Watergraafsmeer,52.34233,4.92578,Entire home/apt,135,3,1,2019-04-22,0.38,25,19
32975222,Cozy room,248172681,Igor,,Osdorp,52.35383,4.81067,Private room,55,1,35,2019-07-05,9.72,1,6
32977084,"Charming and cozy home in ""Oud Zuid""",128265422,Michel,,Zuid,52.35526,4.86927,Entire home/apt,200,2,9,2019-06-15,3.25,1,277
32978062,Stylish city apartment in west Amsterdam!,248196094,Roel,,Bos en Lommer,52.38301,4.85232,Entire home/apt,140,3,4,2019-05-12,1.56,1,0
32982335,Houseboat – wake up with great view!,35003425,Sandra,,Zuid,52.34156,4.84565,Private room,125,2,19,2019-06-27,6.13,1,209
32983731,Nice room in cozy house near Westerpark!!,7168181,Maarten,,Westerpark,52.38946,4.87783,Private room,99,3,5,2019-04-22,1.39,1,21
32985357,Beautiful family home with roof terrace,241492297,Erik,,Watergraafsmeer,52.35324,4.94293,Entire home/apt,190,4,3,2019-06-02,1.20,1,14
32985629,Light and spacious apartment in IJburg,248250318,Ahmed,,IJburg - Zeeburgereiland,52.35477,4.99521,Entire home/apt,100,1,20,2019-06-29,6.38,1,10
32988652,Spacious and bright apartment in Amsterdam (95m2),230144847,Alex,,Bijlmer-Centrum,52.31778,4.95663,Entire home/apt,265,2,6,2019-06-16,2.28,2,357
32989832,West side is the best side! Very close to centre.,3576012,Sheryl & Lukasz,,De Baarsjes - Oud-West,52.36597,4.85121,Entire home/apt,220,4,9,2019-06-23,2.52,2,207
32998757,"TOP LOCATED APARTMENT, AMSTERDAM CENTER, JORDAN.",14183886,Luis,,Centrum-West,52.38708,4.88541,Entire home/apt,63,3,5,2019-05-08,1.25,29,266
33002270,A friendly place !!!,17161065,Annabelle,,Oostelijk Havengebied - Indische Buurt,52.37587,4.94758,Private room,70,1,5,2019-05-18,1.70,2,109
33002649,Stylish city apartment!,248386086,Martine,,Oud-Oost,52.36484,4.93119,Entire home/apt,130,3,5,2019-07-01,2.34,1,0
33003742,"Quiet, Spacious Home in Pijp! Not far to RAI EVENT",84453740,David,,De Pijp - Rivierenbuurt,52.35264,4.90146,Entire home/apt,300,2,1,2019-04-14,0.35,30,0
